trt;rep;day;index
0;1;9;0
0;1;10;0,125
0;1;11;0,583333333
0;1;12;0,958333333
0;1;13;0,958333333
0;1;14;0,958333333
0;1;15;0,958333333
0;1;16;1
0;1;17;1
0;1;18;1
0;1;19;1
0;1;20;1
0;1;21;1
0;1;22;1
0;1;23;1
0;1;24;1
0;1;25;1
0;2;9;0,041666667
0;2;10;0,083333333
0;2;11;0,125
0;2;12;0,375
0;2;13;0,583333333
0;2;14;0,625
0;2;15;0,625
0;2;16;0,708333333
0;2;17;0,708333333
0;2;18;0,75
0;2;19;0,791666667
0;2;20;0,833333333
0;2;21;0,833333333
0;2;22;0,916666667
0;2;23;0,916666667
0;2;24;0,958333333
0;2;25;0,958333333
0;3;9;0
0;3;10;0
0;3;11;0
0;3;12;0
0;3;13;0
0;3;14;0
0;3;15;0
0;3;16;0
0;3;17;0
0;3;18;0,125
0;3;19;0,208333333
0;3;20;0,333333333
0;3;21;0,333333333
0;3;22;0,333333333
0;3;23;0,333333333
0;3;24;0,5
0;3;25;0,708333333
0;4;9;0
0;4;10;0
0;4;11;0,125
0;4;12;0,375
0;4;13;0,5
0;4;14;0,583333333
0;4;15;0,583333333
0;4;16;0,666666667
0;4;17;0,666666667
0;4;18;0,666666667
0;4;19;0,666666667
0;4;20;0,666666667
0;4;21;0,666666667
0;4;22;0,666666667
0;4;23;0,75
0;4;24;0,791666667
0;4;25;0,833333333
1;1;9;0
1;1;10;0
1;1;11;0
1;1;12;0
1;1;13;0,083333333
1;1;14;0,125
1;1;15;0,125
1;1;16;0,166666667
1;1;17;0,166666667
1;1;18;0,166666667
1;1;19;0,166666667
1;1;20;0,208333333
1;1;21;0,291666667
1;1;22;0,375
1;1;23;0,375
1;1;24;0,458333333
1;1;25;0,5
1;2;9;0,041666667
1;2;10;0,041666667
1;2;11;0,333333333
1;2;12;0,625
1;2;13;0,791666667
1;2;14;0,833333333
1;2;15;0,875
1;2;16;1
1;2;17;1
1;2;18;1
1;2;19;1
1;2;20;1
1;2;21;1
1;2;22;1
1;2;23;1
1;2;24;1
1;2;25;0,666666667
1;3;9;0
1;3;10;0
1;3;11;0,041666667
1;3;12;0,083333333
1;3;13;0,125
1;3;14;0,166666667
1;3;15;0,166666667
1;3;16;0,166666667
1;3;17;0,166666667
1;3;18;0,166666667
1;3;19;0,25
1;3;20;0,333333333
1;3;21;0,375
1;3;22;0,416666667
1;3;23;0,458333333
1;3;24;0,5
1;3;25;0,5
1;4;9;0
1;4;10;0
1;4;11;0
1;4;12;0
1;4;13;0,083333333
1;4;14;0,083333333
1;4;15;0,166666667
1;4;16;0,208333333
1;4;17;0,291666667
1;4;18;0,333333333
1;4;19;0,333333333
1;4;20;0,333333333
1;4;21;0,333333333
1;4;22;0,333333333
1;4;23;0,333333333
1;4;24;0,333333333
1;4;25;0,666666667
2;1;9;0,041666667
2;1;10;0,041666667
2;1;11;0,083333333
2;1;12;0,125
2;1;13;0,166666667
2;1;14;0,208333333
2;1;15;0,208333333
2;1;16;0,25
2;1;17;0,25
2;1;18;0,25
2;1;19;0,25
2;1;20;0,333333333
2;1;21;0,333333333
2;1;22;0,333333333
2;1;23;0,333333333
2;1;24;0,333333333
2;1;25;0,333333333
2;2;9;0
2;2;10;0
2;2;11;0,041666667
2;2;12;0,083333333
2;2;13;0,208333333
2;2;14;0,375
2;2;15;0,375
2;2;16;0,458333333
2;2;17;0,458333333
2;2;18;0,458333333
2;2;19;0,5
2;2;20;0,5
2;2;21;0,5
2;2;22;0,5
2;2;23;0,5
2;2;24;0,5
2;2;25;0,5
2;3;9;0
2;3;10;0
2;3;11;0,083333333
2;3;12;0,083333333
2;3;13;0,125
2;3;14;0,166666667
2;3;15;0,166666667
2;3;16;0,166666667
2;3;17;0,166666667
2;3;18;0,166666667
2;3;19;0,166666667
2;3;20;0,166666667
2;3;21;0,166666667
2;3;22;0,166666667
2;3;23;0,166666667
2;3;24;0,166666667
2;3;25;0,166666667
2;4;9;0
2;4;10;0
2;4;11;0
2;4;12;0
2;4;13;0
2;4;14;0,083333333
2;4;15;0,083333333
2;4;16;0,166666667
2;4;17;0,166666667
2;4;18;0,166666667
2;4;19;0,166666667
2;4;20;0,166666667
2;4;21;0,166666667
2;4;22;0,166666667
2;4;23;0,166666667
2;4;24;0,166666667
2;4;25;0,166666667
3;1;9;0,041666667
3;1;10;0,041666667
3;1;11;0,083333333
3;1;12;0,125
3;1;13;0,125
3;1;14;0,166666667
3;1;15;0,166666667
3;1;16;0,166666667
3;1;17;0,166666667
3;1;18;0,166666667
3;1;19;0,166666667
3;1;20;0,166666667
3;1;21;0,166666667
3;1;22;0,166666667
3;1;23;0,166666667
3;1;24;0,166666667
3;1;25;0,166666667
3;2;9;0
3;2;10;0
3;2;11;0
3;2;12;0
3;2;13;0
3;2;14;0
3;2;15;0
3;2;16;0,041666667
3;2;17;0,125
3;2;18;0,166666667
3;2;19;0,25
3;2;20;0,25
3;2;21;0,291666667
3;2;22;0,333333333
3;2;23;0,333333333
3;2;24;0,333333333
3;2;25;0,333333333
3;3;9;0
3;3;10;0
3;3;11;0,083333333
3;3;12;0,125
3;3;13;0,166666667
3;3;14;0,25
3;3;15;0,291666667
3;3;16;0,291666667
3;3;17;0,333333333
3;3;18;0,333333333
3;3;19;0,333333333
3;3;20;0,333333333
3;3;21;0,333333333
3;3;22;0,333333333
3;3;23;0,333333333
3;3;24;0,333333333
3;3;25;0,333333333
3;4;9;0
3;4;10;0
3;4;11;0
3;4;12;0
3;4;13;0,083333333
3;4;14;0,166666667
3;4;15;0,25
3;4;16;0,333333333
3;4;17;0,333333333
3;4;18;0,333333333
3;4;19;0,333333333
3;4;20;0,333333333
3;4;21;0,333333333
3;4;22;0,333333333
3;4;23;0,333333333
3;4;24;0,333333333
3;4;25;0,333333333
